yearID,lgID,teamID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,PA,AB,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ER,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,DP,franchName
2011,NL,CHC,C,5,162,71,91,N,N,N,N,654,6068,5549,1423,285,36,148,2224,425,1202,69,23,0.75,59,35,0.256442602,0.314271589,0.400792936,0.715064524,756,690,4.33,4,5,40,1439,162,580,1224,128,Chicago Cubs
2011,NL,CIN,C,3,162,79,83,N,N,N,N,735,6250,5612,1438,264,19,183,2289,535,1250,97,50,0.659863946,63,40,0.256236636,0.32576,0.40787598,0.73363598,720,678,4.16,4,5,39,1414,185,539,1112,146,Cincinnati Reds
2011,AL,CLE,C,2,162,80,82,N,N,N,N,704,6111,5509,1380,290,26,154,2184,494,1269,89,42,0.679389313,65,43,0.250499183,0.317296678,0.396442186,0.713738864,760,683,4.23,2,4,38,1482,153,463,1024,130,Cleveland Indians
2011,NL,COL,W,4,162,73,89,N,N,N,N,735,6200,5544,1429,274,40,163,2272,555,1201,118,42,0.7375,57,44,0.257756133,0.329193548,0.40981241,0.739005958,774,713,4.43,5,7,41,1471,176,522,1118,156,Colorado Rockies
2011,AL,DET,C,1,162,95,67,Y,N,N,N,787,6181,5563,1540,297,34,169,2412,521,1143,49,20,0.710144928,39,58,0.276829049,0.339750849,0.433579004,0.773329854,711,647,4.04,4,14,52,1406,149,492,1115,148,Detroit Tigers
2011,NL,MIA,E,5,162,72,90,N,N,N,N,625,6143,5508,1358,274,30,149,2139,542,1244,95,41,0.698529412,51,42,0.246550472,0.317597265,0.388344227,0.705941492,702,640,3.95,7,11,40,1403,149,500,1218,126,Miami Marlins
2011,NL,HOU,C,6,162,56,106,N,N,N,N,615,6082,5598,1442,309,28,95,2092,401,1164,118,33,0.781456954,46,37,0.257591997,0.310588622,0.373704895,0.684293517,796,719,4.51,2,6,25,1477,188,560,1191,140,Houston Astros
2011,AL,KCR,C,4,162,71,91,N,N,N,N,730,6210,5672,1560,325,41,129,2354,442,1006,153,58,0.725118483,39,57,0.275035261,0.328663446,0.415021157,0.743684603,762,716,4.44,2,6,37,1487,163,557,1080,149,Kansas City Royals
2011,AL,LAA,W,2,162,86,76,N,N,N,N,667,6038,5513,1394,289,34,155,2216,442,1086,135,52,0.721925134,51,32,0.252856884,0.312520702,0.401959006,0.714479708,633,581,3.57,12,11,39,1388,142,476,1058,157,Los Angeles Angels
2011,NL,LAD,W,3,161,82,79,N,N,N,N,644,6022,5436,1395,237,28,117,2039,498,1087,126,40,0.759036145,45,43,0.256622517,0.321819993,0.375091979,0.696911973,612,563,3.54,7,17,40,1287,132,507,1265,121,Los Angeles Dodgers
2011,NL,MIL,C,1,162,96,66,Y,N,N,N,721,6028,5447,1422,276,31,185,2315,481,1083,94,31,0.752,56,44,0.261061135,0.324983411,0.42500459,0.749988,638,582,3.63,1,13,47,1348,147,440,1257,130,Milwaukee Brewers
2011,AL,MIN,C,5,162,63,99,N,N,N,N,619,5989,5487,1357,259,25,103,1975,440,1048,92,39,0.702290076,37,25,0.247311828,0.306228085,0.35994168,0.666169765,804,724,4.58,7,8,32,1564,161,480,940,153,Minnesota Twins
2011,AL,NYY,E,1,162,97,65,Y,N,N,N,867,6270,5518,1452,267,33,222,2451,627,1138,147,46,0.761658031,74,51,0.263138818,0.34338118,0.444182675,0.787563855,657,605,3.73,5,8,47,1423,152,507,1222,141,New York Yankees
2011,NL,NYM,E,4,162,77,85,N,N,N,N,718,6270,5600,1477,309,39,108,2188,571,1085,130,35,0.787878788,51,48,0.26375,0.33476874,0.390714286,0.725483026,742,674,4.19,6,9,43,1482,147,514,1126,126,New York Mets
2011,AL,OAK,W,3,162,74,88,N,N,N,N,645,6068,5452,1330,280,29,114,2010,509,1094,117,43,0.73125,50,57,0.243947175,0.311305208,0.368672047,0.679977255,679,597,3.71,6,12,39,1380,136,519,1160,145,Oakland Athletics
2011,NL,PHI,E,1,162,102,60,Y,N,N,N,713,6212,5579,1409,258,38,153,2202,539,1024,96,24,0.8,56,38,0.252554221,0.322601417,0.39469439,0.717295806,529,495,3.02,18,21,47,1320,120,404,1299,135,Philadelphia Phillies
2011,NL,PIT,C,4,162,72,90,N,N,N,N,610,5988,5421,1325,277,35,107,1993,489,1308,108,52,0.675,34,44,0.244419849,0.308617234,0.367644346,0.676261581,712,650,4.04,5,11,43,1513,152,535,1031,154,Pittsburgh Pirates
2011,NL,SDP,W,5,162,71,91,N,N,N,N,593,6013,5417,1284,247,42,91,1888,501,1320,170,44,0.794392523,48,47,0.237031567,0.304839514,0.348532398,0.653371912,611,551,3.42,0,10,44,1324,125,521,1139,139,San Diego Padres
2011,AL,SEA,W,4,162,67,95,N,N,N,N,556,5934,5421,1263,253,22,109,1887,435,1280,125,40,0.757575758,37,41,0.232982844,0.292382878,0.348090758,0.640473636,675,621,3.9,12,10,39,1369,145,436,1088,152,Seattle Mariners
2011,NL,SFG,W,2,162,86,76,N,N,N,N,570,6029,5486,1327,282,24,121,2020,448,1122,85,51,0.625,52,43,0.241888443,0.303035329,0.368209989,0.671245318,578,522,3.2,3,12,52,1260,96,559,1316,127,San Francisco Giants
2011,NL,STL,C,2,162,90,72,N,Y,Y,Y,762,6158,5532,1513,308,22,162,2351,542,978,57,39,0.59375,44,40,0.273499638,0.340857421,0.424981923,0.765839345,692,608,3.74,7,9,47,1461,136,448,1098,167,St. Louis Cardinals
2011,AL,TBR,E,2,162,91,71,N,Y,N,N,707,6115,5436,1324,273,37,172,2187,571,1193,155,62,0.714285714,73,35,0.243561442,0.321831562,0.402317881,0.724149443,614,577,3.58,15,13,32,1263,161,504,1143,138,Tampa Bay Rays
2011,AL,TEX,W,1,162,96,66,Y,N,Y,N,855,6222,5659,1599,310,32,210,2603,475,930,143,45,0.760638298,39,49,0.282558756,0.339601414,0.459975261,0.799576675,677,607,3.79,10,19,38,1327,170,461,1179,164,Texas Rangers
