yearID,lgID,teamID,Rank,W,L,WSWin,R,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,franchName
2012,NL,CIN,1,97,65,N,669,1377,296,30,172,2249,481,1266,87,27,0.763157895,47,37,0.251415008,0.315292949,0.410626255,0.725919205,588,3.34,9,12,56,1356,152,427,1248,Cincinnati Reds
2012,AL,CLE,4,68,94,N,667,1385,266,24,136,2107,555,1087,110,44,0.714285714,59,39,0.250678733,0.323567498,0.381357466,0.704924964,845,4.78,2,6,43,1503,174,543,1086,Cleveland Indians
2012,NL,COL,5,64,98,N,758,1526,306,52,166,2434,450,1213,100,40,0.714285714,36,39,0.273623812,0.329727958,0.43643536,0.766163318,890,5.22,0,7,36,1637,198,566,1144,Colorado Rockies
2012,AL,DET,1,88,74,N,726,1467,279,39,163,2313,511,1103,59,23,0.719512195,57,39,0.267896275,0.334538879,0.422388605,0.756927484,670,3.75,9,8,40,1409,151,438,1318,Detroit Tigers
2012,NL,HOU,6,55,107,N,583,1276,238,28,146,2008,463,1365,105,46,0.695364238,58,30,0.235990383,0.301611279,0.371370446,0.672981725,794,4.56,3,11,31,1493,173,540,1170,Houston Astros
2012,AL,KCR,3,72,90,N,676,1492,295,37,131,2254,404,1032,132,38,0.776470588,42,41,0.264726757,0.316511514,0.399929028,0.716440542,746,4.3,2,12,44,1504,163,542,1177,Kansas City Royals
2012,AL,LAA,3,89,73,N,767,1518,273,22,187,2396,449,1113,134,33,0.80239521,47,41,0.274205202,0.331631813,0.432803468,0.764435281,699,4.02,6,16,38,1339,186,483,1157,Los Angeles Angels
2012,NL,LAD,2,86,76,N,637,1369,269,23,116,2032,481,1156,104,44,0.702702703,52,38,0.251746966,0.316525212,0.373666789,0.690192001,597,3.34,2,10,40,1277,122,539,1276,Los Angeles Dodgers
2012,NL,MIA,5,69,93,N,609,1327,261,39,137,2077,484,1228,149,41,0.784210526,35,40,0.24406842,0.307871915,0.382012139,0.689884054,724,4.09,5,7,38,1448,133,495,1113,Miami Marlins
2012,NL,MIL,3,83,79,N,776,1442,300,39,202,2426,466,1240,158,39,0.802030457,90,35,0.259492532,0.324983735,0.436566493,0.761550227,733,4.22,0,9,44,1458,169,525,1402,Milwaukee Brewers
2012,AL,MIN,5,66,96,N,701,1448,270,30,131,2171,505,1069,135,37,0.784883721,53,56,0.260338008,0.324805699,0.39032722,0.71513292,832,4.77,3,6,35,1536,198,465,943,Minnesota Twins
2012,AL,NYY,1,95,67,N,804,1462,280,13,245,2503,565,1176,93,27,0.775,62,49,0.264663287,0.336935484,0.453113686,0.79004917,668,3.84,6,9,51,1401,190,431,1318,New York Yankees
2012,NL,NYM,4,74,88,N,650,1357,286,21,139,2102,503,1250,79,38,0.675213675,42,30,0.248990826,0.315684647,0.385688073,0.701372721,709,4.09,7,13,36,1368,161,488,1240,New York Mets
2012,AL,OAK,1,94,68,N,713,1315,267,32,195,2231,550,1387,122,32,0.792207792,45,34,0.237922924,0.310266407,0.403654786,0.713921192,614,3.48,1,13,47,1360,147,462,1136,Oakland Athletics
2012,NL,PHI,3,81,81,N,684,1414,271,28,158,2215,454,1094,116,23,0.834532374,63,39,0.255050505,0.316557377,0.399531025,0.716088402,680,3.83,5,11,42,1387,178,409,1385,Philadelphia Phillies
2012,NL,PIT,4,79,83,N,651,1313,241,37,170,2138,444,1354,73,52,0.584,51,45,0.242609017,0.303763441,0.395048041,0.698811482,674,3.86,2,10,45,1357,153,490,1192,Pittsburgh Pirates
2012,NL,SDP,4,76,86,N,651,1339,272,43,121,2060,539,1238,155,46,0.771144279,54,34,0.246956842,0.319391635,0.379933604,0.699325239,710,4.01,4,11,43,1356,162,539,1205,San Diego Padres
2012,AL,SEA,4,75,87,N,619,1285,241,27,149,2027,466,1259,104,35,0.748201439,30,35,0.233891518,0.29560166,0.368947943,0.664549603,651,3.76,8,11,43,1359,166,449,1166,Seattle Mariners
2012,NL,SFG,1,94,68,Y,718,1495,287,57,103,2205,483,1097,118,39,0.751592357,29,61,0.268981648,0.327352797,0.396725441,0.724078238,649,3.68,5,14,53,1361,142,489,1237,San Francisco Giants
2012,NL,STL,2,88,74,N,765,1526,290,37,159,2367,533,1192,91,37,0.7109375,53,49,0.271433654,0.337541953,0.421024546,0.758566499,648,3.71,4,10,42,1420,134,436,1218,St. Louis Cardinals
2012,AL,TBR,3,90,72,N,697,1293,250,30,175,2128,571,1323,134,44,0.752808989,58,42,0.23953316,0.316691382,0.394220082,0.710911464,577,3.19,7,15,50,1233,139,469,1383,Tampa Bay Rays
2012,AL,TEX,2,93,69,N,808,1526,303,32,200,2493,478,1103,91,44,0.674074074,57,53,0.272987478,0.333603108,0.445974955,0.779578063,707,3.99,7,10,43,1378,175,446,1286,Texas Rangers
2012,AL,TOR,4,73,89,N,716,1346,247,22,198,2231,473,1251,123,41,0.75,55,45,0.245307089,0.309240924,0.406597412,0.715838336,784,4.64,5,11,29,1439,204,574,1142,Toronto Blue Jays
2012,NL,WAS,1,98,64,N,731,1468,301,25,194,2401,479,1325,105,35,0.75,41,36,0.261442565,0.322152001,0.42760463,0.749756632,594,3.33,3,9,51,1296,129,497,1325,Washington Nationals
2013,NL,ARI,2,81,81,N,685,1468,302,31,130,2222,519,1142,62,41,0.601941748,43,43,0.25863284,0.323196943,0.391472868,0.714669811,695,3.92,6,7,38,1460,176,485,1218,Arizona Diamondbacks
2013,NL,ATL,1,96,66,N,688,1354,247,21,181,2186,542,1384,64,31,0.673684211,55,35,0.248851314,0.321258027,0.401764382,0.723022409,548,3.18,1,12,53,1326,127,409,1232,Atlanta Braves
2013,AL,BAL,3,85,77,N,745,1460,298,14,212,2422,416,1125,79,29,0.731481481,36,45,0.259786477,0.312571522,0.430960854,0.743532376,709,4.2,2,6,57,1438,202,473,1169,Baltimore Orioles
2013,AL,BOS,1,97,65,Y,853,1566,363,29,178,2521,581,1308,123,19,0.866197183,72,50,0.277119094,0.349228832,0.446115732,0.795344564,656,3.79,5,8,33,1366,156,524,1294,Boston Red Sox
2013,AL,CHW,5,63,99,N,598,1385,237,19,148,2104,411,1207,105,42,0.714285714,34,48,0.248966385,0.302179657,0.378213194,0.680392851,723,3.98,5,5,40,1424,182,509,1249,Chicago White Sox
2013,NL,CHC,5,66,96,N,602,1307,297,18,172,2156,439,1230,63,32,0.663157895,67,30,0.237722808,0.300464037,0.392142597,0.692606634,689,4,3,6,39,1332,160,540,1184,Chicago Cubs
2013,NL,CIN,3,90,72,N,698,1370,274,20,155,2149,585,1245,67,35,0.656862745,76,46,0.249136207,0.327263938,0.390798327,0.718062265,589,3.38,5,17,43,1294,170,435,1296,Cincinnati Reds
2013,AL,CLE,2,92,70,N,745,1391,290,23,171,2240,562,1283,117,36,0.764705882,51,56,0.25452882,0.326703619,0.409881061,0.73658468,662,3.82,3,16,38,1359,147,554,1379,Cleveland Indians
2013,NL,COL,5,74,88,N,706,1511,283,36,159,2343,427,1204,112,32,0.777777778,26,35,0.26986962,0.322654838,0.418467583,0.741122422,760,4.44,1,5,35,1545,136,517,1064,Colorado Rockies
2013,AL,DET,1,93,69,N,796,1625,292,23,176,2491,531,1073,35,20,0.636363636,43,47,0.283347864,0.34597231,0.43435048,0.780322789,624,3.61,3,12,39,1369,128,462,1428,Detroit Tigers
2013,AL,HOU,5,51,111,N,610,1307,266,16,148,2049,426,1535,110,61,0.643274854,52,38,0.239508888,0.298844802,0.375481034,0.674325835,848,4.79,2,5,32,1530,191,616,1084,Houston Astros
2013,AL,KCR,3,86,76,N,648,1443,254,34,112,2101,422,1048,153,32,0.827027027,42,42,0.260046855,0.314946325,0.37862678,0.693573105,601,3.45,5,12,52,1366,155,469,1208,Kansas City Royals
2013,AL,LAA,3,78,84,N,733,1476,270,39,164,2316,523,1221,82,34,0.706896552,48,64,0.264137437,0.328941025,0.414459556,0.743400581,737,4.23,4,12,41,1475,167,533,1200,Los Angeles Angels
2013,NL,LAD,1,92,70,N,649,1447,281,17,138,2176,476,1146,78,28,0.735849057,57,48,0.263522127,0.326086957,0.39628483,0.722371786,582,3.25,7,22,46,1321,127,460,1292,Los Angeles Dodgers
2013,NL,MIA,5,62,100,N,513,1257,219,31,95,1823,432,1232,78,29,0.728971963,56,26,0.230684529,0.292637934,0.334556799,0.627194733,646,3.71,2,13,36,1376,121,526,1177,Miami Marlins
